monster_id,name,description_cell,cost,fill,dust,coin,ticket,revenew_coin,revenew_exp,revenew_interval,open_work_id,description_book,size,rare
35,孫悟空,筋斗雲に乗って自由に空を飛び回る。,5,1,1,390000,0,17,1,60,130,サルの中では伝説のサル。ここまで有名になったサルは未だかつていないだろう。,98,4
36,トリケラトプス,ティラノサウルスのライバル。,7,1,1,130000,0,20,2,60,130,こう見えても草食系。いかつい角はもちろん強いが、首周りのフリフリに骨が入っていて硬いので実はフリルが強かったらしい。,123,4
37,マンモス,種類によっては牙が5m位あるやつもいる。,8,1,1,169000,0,12,1,60,131,太古のゾウ。硬い体毛と大きな牙が特徴的。ゾウ界ではロン毛と呼ばれている。,144,4
38,ティラノサウルス,史上最大級の肉食恐竜。,8,1,1,650000,0,25,1,60,131,地球上に存在した肉食獣の中で最も大きい。300万年前は生態系のトップにいた。,147,5
39,龍,空をゆったりと飛ぶ姿は壮大。,9,1,1,910000,0,33,1,60,131,中国生まれの伝説の生き物。有名アニメや小説、映画など、結構忙しい霊獣。,133,5
40,ペガサス,見ると幸せになるという都市伝説も。,8,1,1,195000,0,18,1,60,131,天空を駆ける天馬。羽が生えているので当然飛ぶことができる。正式名称はペーガソス。,119,5
41,タイガーマスク,一見トラっぽいが、中は猫という噂も。,3,1,1,0,2,43,1,60,35,正義の味方。世のため人のために今日も悪者を退治し弱者に施しを与えている。,102,4
42,キングライオン,百獣の王の中でも頂点に立つライオン。,6,1,1,0,5,100,1,60,56,ライオンの中でも王様として高い地位を誇るライオン。付き人は不況に煽られ解雇したばかり。,112,5
43,シルクハットワニ,スポーツブランドのロゴみたい。,3,1,1,0,3,42,1,60,55,ワニ界の伯爵。育ちが良く喋るのも聞くのも上手い。口元に手が届かないので葉巻はメイドに世話してもらってる。,147,4
44,ピンクゴリラ,女子プロレスラーのような風貌だが、オス。,5,1,1,0,3,40,1,60,57,珍しいピンク色のゴリラ。その風貌から女性寄りの男性だと勘違いされることが多いが、清らかな乙女。,102,4
45,レインボーウマ,虹のようにあっという間に消えてしまう。,4,1,1,0,2,40,1,60,58,7色に輝く馬。まるで虹のように神々しい光を放っている。空は飛べない。,98,4
46,カラフル麒麟,虹色の斑点を持つ希少種。,6,1,1,0,3,40,1,60,59,麒麟の枠を超えたファンタジーな麒麟。普通の麒麟が見ても仲間とは思わないくらいカラフル。,154,4
47,羊の執事,言葉少ないが仕事をしっかりするタイプ。,3,1,1,0,1,50,1,60,60,携帯の中で色々お世話してくれる羊・・・ではない。ただ羊の中では執事なだけ。,91,3
48,メキシコアラ,いつも陽気。好物はタコス。,3,1,1,0,1,40,1,60,135,メキシコ帰りのアミーゴなコアラ。マラカスを振りながらいつも踊っている。タコスが好物。,91,3
49,サムパカ,モフモフなのに寒がりなやつ。,4,1,1,0,2,50,1,60,61,寒がりなアルパカ。いつもマフラーをしている。背中に載せてるパンダのぬいぐるみは親友のモンモンちゃん。,102,4
50,ホッキョク親子,コグマはマフラーにくるまって寝る。,6,1,1,0,2,67,1,60,62,子供を背中に乗せたホッキョクグマ親子。クマがこのような行動をするのは珍しく、世界中が注目している。,116,5
51,サクラパンダ,桜色の珍しい種類のパンダ。,5,1,1,0,3,83,1,60,63,桜模様の珍しいパンダ。桜の木の下で日焼けを楽しんでいたらこうなってしまったらしい。,102,5
52,雷ペガサス,カミナリ雲に乗ってやってくると言う。,9,1,1,0,5,100,1,60,64,雷神様のつかいとして人間界にやってきたペガサス。自由に雷を操る事が出来る。,119,5
53,稲妻サウルス,触れて感電させて獲物を仕留める。,10,1,1,0,5,100,1,60,65,体に電流が流れてる恐竜。ある日稲妻と一緒に落ちてきた珍しい産物。電柱が好物。,147,5
54,暗黒龍,玉を集めると願いを叶えてくれそうな龍。,10,1,1,0,10,117,1,60,66,闇の世界を牛耳る龍。ブラック企業もこの龍が提案してこの世に定着したと言われている。,133,5
