work_id,title,description,type,level,appear_work_id,exp,difficulty,prize_ticket,prize_coin,prize_monster,mission_level,mission_monster,mission_staff,mission_item,mission_collect,mission_tweet,mission_login,mission_num
48,「化石の檻」の設置,「化石の檻」を1つ設置しよう,1,9,0,5,AA,0,100000,0,0,0,0,12,0,0,0,1
49,「オフィス」の設置,「オフィス」を3つ設置しよう,1,10,0,5,B,1,0,0,0,0,0,13,0,0,0,3
50,「動物型オフィス」の設置,「動物型オフィス」を1つ設置しよう,1,10,0,5,A,2,0,0,0,0,0,14,0,0,0,1
51,「トリケラトプス」の飼育,「トリケラトプス」を1匹飼育しよう,2,11,131,70,A,1,0,0,0,36,0,0,0,0,0,1
52,「ティラノサウルス」の飼育,「ティラノサウルス」を1匹飼育しよう,2,11,131,70,A,1,0,0,0,38,0,0,0,0,0,1
53,「龍」の飼育,「龍」を1匹飼育しよう,2,11,131,70,A,1,0,0,0,39,0,0,0,0,0,1
54,「ペガサス」の飼育,「ペガサス」を1匹飼育しよう,2,11,131,70,A,1,0,0,0,40,0,0,0,0,0,1
55,「ワニ」の飼育,「ワニ」を5匹飼育しよう,2,15,29,55,B+,0,0,4,0,4,0,0,0,0,0,5
56,「ライオン」の飼育,「ライオン」を3匹飼育しよう,2,16,14,50,B,0,0,10,0,10,0,0,0,0,0,3
57,「ゴリラ」の飼育,「ゴリラ」を3匹飼育しよう,2,17,27,50,B,0,0,9,0,9,0,0,0,0,0,3
58,「シマウマ」の飼育,「シマウマ」を5匹飼育しよう,2,18,28,55,B+,0,0,2,0,2,0,0,0,0,0,5
59,「キリン」の飼育,「キリン」を5匹飼育しよう,2,19,30,55,B+,0,0,7,0,7,0,0,0,0,0,5
60,「ヒツジ」の飼育,「ヒツジ」を3匹飼育しよう,2,20,36,50,B,0,0,30,0,30,0,0,0,0,0,3
61,「アルパカ」の飼育,「アルパカ」を3匹飼育しよう,2,21,38,50,B,0,0,32,0,32,0,0,0,0,0,3
62,「ホッキョクグマ」の飼育,「ホッキョクグマ」を5匹飼育しよう,2,22,39,55,B+,0,0,33,0,33,0,0,0,0,0,5
63,「パンダ」の飼育,「パンダ」を5匹飼育しよう,2,23,13,55,B+,0,0,8,0,8,0,0,0,0,0,5
64,「ペガサス」の飼育,「ペガサス」を3匹飼育しよう,2,24,54,220,S,0,0,40,0,40,0,0,0,0,0,3
65,「ティラノサウルス」の飼育,「ティラノサウルス」を3匹飼育しよう,2,25,52,220,S,0,0,38,0,38,0,0,0,0,0,3
66,「龍」の飼育,「龍」を3匹飼育しよう,2,26,53,220,S,0,0,39,0,39,0,0,0,0,0,3
67,「タイガーマスク」の飼育,「タイガーマスク」を1匹飼育しよう,2,27,35,150,AA,1,0,0,0,41,0,0,0,0,0,1
68,「キングライオン」の飼育,「キングライオン」を1匹飼育しよう,2,28,56,150,AA,1,0,0,0,42,0,0,0,0,0,1
69,「シルクハットワニ」の飼育,「シルクハットワニ」を1匹飼育しよう,2,29,55,150,AA,1,0,0,0,43,0,0,0,0,0,1
70,「ピンクゴリラ」の飼育,「ピンクゴリラ」を1匹飼育しよう,2,30,57,150,AA,1,0,0,0,44,0,0,0,0,0,1
71,「レインボーウマ」の飼育,「レインボーウマ」を1匹飼育しよう,2,31,58,150,AA,1,0,0,0,45,0,0,0,0,0,1
72,「カラフル麒麟」の飼育,「カラフル麒麟」を1匹飼育しよう,2,32,59,150,AA,1,0,0,0,46,0,0,0,0,0,1
73,「羊の執事」の飼育,「羊の執事」を1匹飼育しよう,2,33,60,150,AA,1,0,0,0,47,0,0,0,0,0,1
74,「メキシコアラ」の飼育,「メキシコアラ」を1匹飼育しよう,2,34,134,150,AA,1,0,0,0,48,0,0,0,0,0,1
75,「サムパカ」の飼育,「サムパカ」を1匹飼育しよう,2,35,61,150,AA,1,0,0,0,49,0,0,0,0,0,1
76,「ホッキョク親子」の飼育,「ホッキョク親子」を1匹飼育しよう,2,36,62,150,AA,1,0,0,0,50,0,0,0,0,0,1
77,「サクラパンダ」の飼育,「サクラパンダ」を1匹飼育しよう,2,37,63,150,AA,1,0,0,0,51,0,0,0,0,0,1
78,「雷ペガサス」の飼育,「雷ペガサス」を1匹飼育しよう,2,38,64,300,S,1,0,0,0,52,0,0,0,0,0,1
79,「稲妻サウルス」の飼育,「稲妻サウルス」を1匹飼育しよう,2,39,65,300,S,1,0,0,0,53,0,0,0,0,0,1
80,「暗黒龍」の飼育,「暗黒龍」を1匹飼育しよう,2,40,66,300,S,1,0,0,0,54,0,0,0,0,0,1
81,「ポップコーン」の設置,「ポップコーン」を3つ設置しよう,1,10,19,50,B,0,90,0,0,0,0,16,0,0,0,3
82,「自動販売機」の設置,「自動販売機」を3つ設置しよう,1,10,20,50,B,0,150,0,0,0,0,17,0,0,0,3
83,「トイレ」の設置,「トイレ」を3つ設置しよう,1,10,21,50,B,0,225,0,0,0,0,18,0,0,0,3
84,「売店」の設置,「売店」を3つ設置しよう,1,10,22,50,B,0,900,0,0,0,0,19,0,0,0,3
85,「レストラン」の設置,「レストラン」を3つ設置しよう,1,10,84,50,A,0,21000,0,0,0,0,21,0,0,0,3
86,「おみやげ屋」の設置,「おみやげ屋」を1つ設置しよう,1,6,0,5,B+,2,0,0,0,0,0,20,0,0,0,1
87,「おみやげ屋」の設置,「おみやげ屋」を3つ設置しよう,1,12,86,50,A,3,0,0,0,0,0,20,0,0,0,3
88,「動物レストラン」の設置,「動物レストラン」を1つ設置しよう,1,6,0,50,B+,2,0,0,0,0,0,22,0,0,0,1
89,「動物レストラン」の設置,「動物レストラン」を3つ設置しよう,1,12,88,150,A,3,0,0,0,0,0,22,0,0,0,3
90,「噴水」の設置,「噴水」を1つ設置しよう,1,2,0,300,A,2,0,0,0,0,0,23,0,0,0,1
91,「動物園のシンボル」の設置,「動物園のシンボル」を1つ設置しよう,1,2,0,300,AA,3,0,0,0,0,0,24,0,0,0,1
92,「ポップコーン」の設置,「ポップコーン」を5つ設置しよう,1,15,81,150,A,1,0,0,0,0,0,16,0,0,0,5
93,「自動販売機」の設置,「自動販売機」を5つ設置しよう,1,15,82,150,A,1,0,0,0,0,0,17,0,0,0,5
94,「トイレ」の設置,「トイレ」を5つ設置しよう,1,15,83,150,A,1,0,0,0,0,0,18,0,0,0,5
95,「売店」の設置,「売店」を5つ設置しよう,1,15,84,150,A,1,0,0,0,0,0,19,0,0,0,5
96,「レストラン」の設置,「レストラン」を5つ設置しよう,1,15,85,150,AA,1,0,0,0,0,0,21,0,0,0,5
97,「お世話担当」を雇おう,「お世話担当」のスタッフを3人雇おう,3,10,4,50,B,0,300,0,0,0,1,0,0,0,0,3
98,「お世話担当」を雇おう,「お世話担当」のスタッフを5人雇おう,3,12,97,100,B,0,600,0,0,0,1,0,0,0,0,5
99,「フードトレーナー」を雇おう,「フードトレーナー」のスタッフを1人雇おう,3,7,0,10,B,0,500,0,0,0,2,0,0,0,0,1
100,「フードトレーナー」を雇おう,「フードトレーナー」のスタッフを3人雇おう,3,10,99,50,B+,1,0,0,0,0,2,0,0,0,0,3
101,「フードトレーナー」を雇おう,「フードトレーナー」のスタッフを5人雇おう,3,12,100,100,A,2,0,0,0,0,2,0,0,0,0,5
102,「お掃除担当」を雇おう,「お掃除担当」のスタッフを1人雇おう,3,7,0,10,C,0,400,0,0,0,3,0,0,0,0,1
103,「お掃除担当」を雇おう,「お掃除担当」のスタッフを3人雇おう,3,10,102,50,B,0,800,0,0,0,3,0,0,0,0,3
104,「お掃除担当」を雇おう,「お掃除担当」のスタッフを5人雇おう,3,12,103,100,B,0,1600,0,0,0,3,0,0,0,0,5
105,「お掃除のプロ」を雇おう,「お掃除のプロ」のスタッフを1人雇おう,3,7,0,10,B,0,900,0,0,0,4,0,0,0,0,1
106,「お掃除のプロ」を雇おう,「お掃除のプロ」のスタッフを3人雇おう,3,10,105,50,B+,1,0,0,0,0,4,0,0,0,0,3
107,「お掃除のプロ」を雇おう,「お掃除のプロ」のスタッフを5人雇おう,3,12,106,100,A,2,0,0,0,0,4,0,0,0,0,5
108,「健康チェック」を雇おう,「健康チェック」のスタッフを1人雇おう,3,7,0,10,C,0,1250,0,0,0,5,0,0,0,0,1
109,「健康チェック」を雇おう,「健康チェック」のスタッフを3人雇おう,3,10,108,50,B,0,2500,0,0,0,5,0,0,0,0,3
110,「健康チェック」を雇おう,「健康チェック」のスタッフを5人雇おう,3,12,109,100,B,0,5000,0,0,0,5,0,0,0,0,5
111,「動物医師」を雇おう,「動物医師」のスタッフを1人雇おう,3,7,0,10,B,0,1500,0,0,0,6,0,0,0,0,1
112,「動物医師」を雇おう,「動物医師」のスタッフを3人雇おう,3,10,111,50,B+,1,0,0,0,0,6,0,0,0,0,3
113,「動物医師」を雇おう,「動物医師」のスタッフを5人雇おう,3,12,112,100,A,2,0,0,0,0,6,0,0,0,0,5
114,集金5回,お金を5回集金しよう,4,2,2,0,C,0,500,0,0,0,0,0,5,0,0,1
115,集金10回,お金を10回集金しよう,4,2,114,0,C,0,1000,0,0,0,0,0,10,0,0,1
116,集金25回,お金を25回集金しよう,4,2,115,0,B-,0,2500,0,0,0,0,0,25,0,0,1
117,集金50回,お金を50回集金しよう,4,2,116,0,B,0,5000,0,0,0,0,0,50,0,0,1
118,集金100回,お金を100回集金しよう,4,2,117,0,B+,0,10000,0,0,0,0,0,100,0,0,1
119,集金150回,お金を150回集金しよう,4,2,118,0,A,0,15000,0,0,0,0,0,150,0,0,1
120,集金200回,お金を200回集金しよう,4,2,119,0,A,0,20000,0,0,0,0,0,200,0,0,1
121,集金250回,お金を250回集金しよう,4,2,120,0,AA,0,25000,0,0,0,0,0,250,0,0,1
122,集金500回,お金を500回集金しよう,4,2,121,0,S,0,50000,0,0,0,0,0,500,0,0,1
123,集金1000回,お金を1000回集金しよう,4,2,122,0,S,0,100000,0,0,0,0,0,1000,0,0,1
124,レベル4,レベル4に到達しよう,4,3,0,5,C,1,0,0,4,0,0,0,0,0,0,1
125,レベル5,レベル5に到達しよう,4,4,0,5,C,1,0,0,5,0,0,0,0,0,0,1
126,レベル6,レベル6に到達しよう,4,5,0,5,C,1,0,0,6,0,0,0,0,0,0,1
127,レベル7,レベル7に到達しよう,4,6,0,5,C,1,0,0,7,0,0,0,0,0,0,1
24,「いぬ」の飼育,「いぬ」を1匹飼育しよう,2,5,125,15,C+,0,40,0,0,12,0,0,0,0,0,1
25,「うさぎ」の飼育,「うさぎ」を1匹飼育しよう,2,5,125,15,C+,0,40,0,0,14,0,0,0,0,0,1
128,レベル8,レベル8に到達しよう,4,7,0,7,C,1,0,0,8,0,0,0,0,0,0,1
129,レベル10,レベル10に到達しよう,4,8,0,10,C+,3,0,0,10,0,0,0,0,0,0,1
130,レベル15,レベル15に到達しよう,4,10,0,15,B-,2,0,0,15,0,0,0,0,0,0,1
131,レベル20,レベル20に到達しよう,4,15,0,20,B-,3,0,0,20,0,0,0,0,0,0,1
132,レベル25,レベル25に到達しよう,4,20,0,25,B-,2,0,0,25,0,0,0,0,0,0,1
133,レベル30,レベル30に到達しよう,4,25,0,30,B,3,0,0,30,0,0,0,0,0,0,1
134,レベル35,レベル35に到達しよう,4,30,0,35,B,2,0,0,35,0,0,0,0,0,0,1
135,レベル40,レベル40に到達しよう,4,35,0,40,B,3,0,0,40,0,0,0,0,0,0,1
136,レベル45,レベル45に到達しよう,4,40,0,45,B+,2,0,0,45,0,0,0,0,0,0,1
137,レベル50,レベル50に到達しよう,4,45,0,50,B+,3,0,0,50,0,0,0,0,0,0,1
138,レベル55,レベル55に到達しよう,4,50,0,55,A-,2,0,0,55,0,0,0,0,0,0,1
139,レベル60,レベル60に到達しよう,4,55,0,60,A-,3,0,0,60,0,0,0,0,0,0,1
140,レベル65,レベル65に到達しよう,4,60,0,65,A,2,0,0,65,0,0,0,0,0,0,1
141,レベル70,レベル70に到達しよう,4,65,0,70,A,3,0,0,70,0,0,0,0,0,0,1
142,レベル75,レベル75に到達しよう,4,70,0,75,A,2,0,0,75,0,0,0,0,0,0,1
143,レベル80,レベル80に到達しよう,4,75,0,80,AA,3,0,0,80,0,0,0,0,0,0,1
144,レベル85,レベル85に到達しよう,4,80,0,85,AA,2,0,0,85,0,0,0,0,0,0,1
145,レベル90,レベル90に到達しよう,4,85,0,90,S,3,0,0,90,0,0,0,0,0,0,1
146,レベル95,レベル95に到達しよう,4,90,0,95,S,2,0,0,95,0,0,0,0,0,0,1
147,レベル100,レベル100に到達しよう,4,95,0,100,S,3,0,0,100,0,0,0,0,0,0,1
